AREA,AGE,YEAR,SEX,Value,Flags
017,TOTALALLAGES,1996,SEX3,38400,
017,TOTALALLAGES,2001,SEX3,40000,
017,TOTALALLAGES,2006,SEX3,43700,
017,TOTALALLAGES,2007,SEX3,44600,
017,TOTALALLAGES,2008,SEX3,45300,
017,TOTALALLAGES,2009,SEX3,46100,
017,TOTALALLAGES,2010,SEX3,46900,
017,TOTALALLAGES,2011,SEX3,47700,
017,TOTALALLAGES,2012,SEX3,48200,
017,TOTALALLAGES,2013,SEX3,48700,
017,TOTALALLAGES,2014,SEX3,49300,
017,TOTALALLAGES,2015,SEX3,50400,
017,TOTALALLAGES,2016,SEX3,51600,
017,TOTALALLAGES,2017,SEX3,53000,
017,TOTALALLAGES,2018,SEX3,54000,
018,TOTALALLAGES,1996,SEX3,9960,
018,TOTALALLAGES,2001,SEX3,9590,
018,TOTALALLAGES,2006,SEX3,9310,
018,TOTALALLAGES,2007,SEX3,9280,
018,TOTALALLAGES,2008,SEX3,9290,
018,TOTALALLAGES,2009,SEX3,9350,
018,TOTALALLAGES,2010,SEX3,9430,
018,TOTALALLAGES,2011,SEX3,9500,
018,TOTALALLAGES,2012,SEX3,9570,
018,TOTALALLAGES,2013,SEX3,9590,
018,TOTALALLAGES,2014,SEX3,9650,
018,TOTALALLAGES,2015,SEX3,9720,
018,TOTALALLAGES,2016,SEX3,9980,
018,TOTALALLAGES,2017,SEX3,10150,
018,TOTALALLAGES,2018,SEX3,10250,
019,TOTALALLAGES,1996,SEX3,25800,
019,TOTALALLAGES,2001,SEX3,24200,
019,TOTALALLAGES,2006,SEX3,23200,
019,TOTALALLAGES,2007,SEX3,23000,
019,TOTALALLAGES,2008,SEX3,23000,
019,TOTALALLAGES,2009,SEX3,23100,
019,TOTALALLAGES,2010,SEX3,23200,
019,TOTALALLAGES,2011,SEX3,23300,
019,TOTALALLAGES,2012,SEX3,23200,
019,TOTALALLAGES,2013,SEX3,23200,
019,TOTALALLAGES,2014,SEX3,23300,
019,TOTALALLAGES,2015,SEX3,23500,
019,TOTALALLAGES,2016,SEX3,23800,
019,TOTALALLAGES,2017,SEX3,24200,
019,TOTALALLAGES,2018,SEX3,24400,
020,TOTALALLAGES,1996,SEX3,10000,
020,TOTALALLAGES,2001,SEX3,9780,
